"","filename","Coauthor","Journal","Paper"
"1","AGupta",0.259965337954939,0.532062391681109,0.651646447140381
"2","AKumar",0.405737704918033,0.442622950819672,0.479508196721311
"3","CChen",0.298377028714107,0.524344569288389,0.659176029962547
"4","DJohnson",0.125,0.355978260869565,0.451086956521739
"5","JLee",0.238900634249471,0.536997885835095,0.647639182522903
"6","JMartin",0.232142857142857,0.553571428571429,0.544642857142857
"7","JRobinson",0.339181286549708,0.491228070175439,0.485380116959064
"8","JSmith",0.175836030204962,0.441208198489752,0.485436893203884
"9","KTanaka",0.228571428571429,0.3,0.467857142857143
"10","MBrown",0.287581699346405,0.38562091503268,0.503267973856209
"11","MJones",0.253846153846154,0.530769230769231,0.534615384615385
"12","MMiller",0.114077669902913,0.233009708737864,0.351941747572816
"13","SLee",0.270491803278689,0.55396174863388,0.55327868852459
"14","YChen",0.241897233201581,0.519367588932806,0.599209486166008
