"Coauthor","Paper","Journal","AuthorID","PaperID"
"BjornKvande;IrwinBLevinstein;KurtMaly;MargretheHOlson;RaviMukkamala;RitaChambers;RoyWhitney;SNanjangud","PMES: privilege mangagement and enforcement system for secure distributed resource sharing ","IFIP International Federation for Information Processing World Conference IT Tools","10","1"
"CSVemuru;HSyed;HusseinMAbdel-Wahab;KurtMaly;MohamedKholief;RaviMukkamala;SDittakavi","CoProcess: A Java-based Environment for Collaborative Process Management Over the Web ","WebNet","10","2"
"BjornKvande;IrwinBLevinstein;KurtMaly;MargretheHOlson;RaviMukkamala;RitaChambers;RoyWhitney;SNanjangud","A privilege management and enforcement system for distributed resource sharing ","WETICE Workshop Enabling Technologies Infrastructure for Collaborative Enterprises","10","3"
"AlaaYoussef;CMichaelOverstreet;EmiliaStoica;HusseinMAbdel-Wahab;JChristianWild;KurtMary","The software architecture and interprocess communications of IRI: an Internet-based interactive distance learning system ","WETICE Workshop Enabling Technologies Infrastructure for Collaborative Enterprises","10","4"
"APrabhu;CSVemuru;HSyed;HusseinMAbdel-Wahab;KurtMaly;RaviMukkamala","Mosaic + XTV = CoReview ","Computer Networks and ISDN Systems","10","5"
"AGonzalez;AymanAdelAbdelHamid;CMichaelOverstreet;HusseinMAbdel-Wahab;JChristianWild;KurtMaly;SaharGhanem;XiaoqingZhu","IRI-h, a Java-based distance education system ","ACM Journal of Educational Resources Computing","10","6"
"KurtMaly;SatishMynam","BTU: A Host Communication Benchmark ","IEEE Computer","10","7"
"AlaaYoussef;CMichaelOverstreet;EhabSAl-Shaer;EmiliaStoica;HusseinMAbdel-Wahab;JChristianWild;KurtMaly","Interactive Distance Learning over Intranets ","IEEE Internet Computing","10","8"
"CMichaelOverstreet;HusseinMAbdel-Wahab;KurtMaly;MuthuKumar;RahulSrivastava","Performance trade-offs for a multimedia distributed application ","HPN High Performance Networking","10","9"
"MarkMoran;RiccardoBettati;RolfOppliger","A Security Architecture for Tenet Scheme ","IDMS Interactive Distributed Multimedia Systems and Telecommunication Services","11","10"
