"Coauthor","Paper","Journal","AuthorID","PaperID"
"DavidChenhoKung;JerryGao;PeiHsia;YasufumiToyoshima","Object-Oriented Software Testing: Some Research and Development ","HASE","10","1"
"DavidChenhoKung;FWen;JerryGao;PeiHsia;YasufumiToyoshima","Change Impact Identification in Object Oriented Software Maintenance ","ICSM International Conference Software Maintenance","10","2"
"DavidChenhoKung;JerryGao;PeiHsia;YasufumiToyoshima","A Test Strategy for Object-Oriented Programs ","COMPSAC International Computer Software and Applications Conference","10","3"
"DavidKLeung;JerryGao;YasufumiToyoshima","Developing an Integrated Testing Environment Using the World Wide Web Technology ","COMPSAC International Computer Software and Applications Conference","10","4"
"DavidChenhoKung;JerryZGao;PeiHsia;YasufumiToyoshima","Object state testing for object-oriented programs ","COMPSAC International Computer Software and Applications Conference","10","5"
"DavidChenhoKung;JayarajanSamuel;JerryGao;PeiHsia;YasufumiToyoshima","Formal Approach to Scenario Analysis ","IEEE Software","10","6"
"DavidChenhoKung;JerryGao;PeiHsia;YasufumiToyoshima","Or Regression Testing of Object-Oriented Programs ","Journal of Systems and Software","10","7"
"DavidChenhoKung;JerryGao;PeiHsia;YasufumiToyoshima;Young-KeeSong;Young-SiKim","Developing an Object-Oriented Software Testing and Maintenance Environment ","Commun ACM","10","8"
"DavidKLeung;JerryGao;YasufumiToyoshima","Engineering on the Internet for Global Software Production ","IEEE Computer","10","9"
"Ting-YuanWang;Jeng-LiangTsai;CharlieChung-PingChen"," Power-Delivery Networks Optimization Thermal Reliability Integrity, ","ACM International Symposium Physical Design ISPD International Symposium Physical Design","11","10"
"Ting-YuanWang;CharlieChung-PingChen"," Optimization of the Power/Ground Network Wire-Sizing and Spacing Based on Sequential Network Simplex Algorithm, "," rd International Symposium Quality Electronic Design ISQED","11","11"
"Ting-YuanWang;CharlieChung-PingChen"," SPICE-Compatible Thermal Simulation Lumped Circuit Modeling for Thermal Reliability Analysis based on Model Reduction, "," th International Symposium Quality Electronic Design ISQED","11","12"
"Ting-YuanWang;CharlieChung-PingChen"," Thermal-ADI: A Linear-Time Chip-Level Dynamic Thermal Simulation Algorithm Based on Alternating-Direction-Implicit ADI Method, ","ACM International Symposium Physical Design ISPD International Symposium Physical Design slide","11","13"
"Ting-YuanWang;CharlieChung-PingChen"," Thermal-ADI: A Linear-Time Chip-Level Dynamic Thermal Simulation Algorithm Based on Alternating-Direction-Implicit ADI Method, ","IEEE Transaction Very Large Scale Integration Systems TVLSI pp","11","14"
"Ting-YuanWang;Jeng-LiangTsai;CharlieChung-PingChen"," Thermal and Power Integrity based Power/Ground Networks Optimization, ","Design Automation and Test Europe Conference and Exhibition DATE Design Automation and Test Europe","11","15"
"Tsung-HaoChen;Hyoung-SukKim;CharlieChung-PingChen"," L Extracted? Now What? Introduction to An Inductance-Wise Interconnect Simulation Engine INDUCTWISE "," Technical Report University of","11","16"
"Tsung-HaoChen;ClementLuk;CharlieChung-PingChen"," INDUCTWISE: Inductance-Wise Interconnect Simulator and Extractor, ","IEEE Transactions Computer Aided Design of Integrated Circuits and Systems TCAD pp","11","17"
"Tsung-HaoChen;ClementLuk;HyungsukKim;CharlieChung-PingChen"," INDUCTWISE: Inductance-Wise Interconnect Simulator and Extractor, ","IEEE ACM International Conference Computer Aided Design ICCAD International Conference Computer Aided Design","11","18"
"Chung-PingChen;NMenezes"," Noise-Aware Repeater Insertion and Wire-Sizing for On-chip Interconnect Using Hierarchical Moment-Matching, ","IEEE ACM Design Automation Conference DAC Design Automation Conference","11","19"
"Chung-PingChen;HaiZhou;DFWong"," Optimal Non-Uniform Wire-Sizing under the Elmore Delay Model, ","IEEE ACM International Conference Computer Aided Design ICCAD International Conference Computer Aided Design","11","20"
"Chung-PingChen;DFWong"," Optimal Wire-Sizing Function Fringing Capacitance Consideration, ","IEEE ACM Design Automation Conference DAC Design Automation Conference","11","21"
"Chung-PingChen;Yao-PingChen;DFWong"," Optimal Wire-Sizing Formula under the Elmore Delay Model, ","IEEE ACM Design Automation Conference DAC Design Automation Conference","11","22"
"Chung-PingChen;DFWong"," Error-bounded Pade Approximation via Bilinear Conformal Transformation, ","IEEE ACM Design Automation Conference DAC Design Automation Conference","11","23"
"Tsung-HaoChen;ClementLuk;CharlieChung-PingChen"," SuPREME: Substrate and Power-delivery Reluctance-Enhanced Macromodel Evaluation, ","IEEE ACM International Conference Computer Aided Design ICCAD International Conference Computer Aided Design","11","24"
"EdCheng","Future SoC Design Challenges and Solutions invited ","ISQED","11","25"
