"Coauthor","Paper","Journal","AuthorID","PaperID"
"JianyingHu;WilliamTurin","Invariant Features for HMM Based On-Line Handwriting Recognition ","ICIAP","10","1"
"AmySRosenthal;JianyingHu","Combining High-Level Features with Sequential Local Features for On-Line Handwriting Recognition ","ICIAP","10","2"
"JianyingHu;WilliamTurin","HMM Based On-Line Handwriting Recognition ","IEEE Transactions Pattern Analysis and Machine Intelligence","10","3"
"MaryDBrown;JaredStark;YaleNPatt","Select-Free Instruction Scheduling Logic,","Proceedings of the th ACM IEEE International Symposium Microarchitecture MICRO International Symposium Microarchitecture talk slides","11","4"
"MaryDBrown;YaleNPatt","Using Internal Redundant Representations and Limited Bypass to Support Pipelined Adders and Register Files,"," the Proceedings of the th IEEE International Symposium High Performance Computer Architecture HPCA International Symposium High Performance Computer Architecture talk slides","11","5"
"YaleNPatt","Using Internal Redundant Representations and Limited Bypass to Support Pipelined Adders and Register Files ","HPCA International Symposium High Performance Computer Architecture","11","6"
"JaredStark;MaryDBrown;YaleNPatt","On Pipelining Dynamic Instruction Scheduling Logic,","Proceedings of the rd ACM IEEE International Symposium Microarchitecture MICRO International Symposium Microarchitecture","11","7"
"JaredStark;YaleNPatt","Select-free instruction scheduling logic ","MICRO International Symposium Microarchitecture","11","8"
"","Selecting Semantics for Use with Semantic Pruning of Linear Deductions ","Australian Joint Conference Artificial Intelligence","12","9"
"GSutcliffe","PTTP+GLiDeS: Guiding Linear Deductions with Semantics ","N Foo editor Advanced Topics Artificial Intelligence th Australian Joint Conference Artificial Intelligence AI Artificial Intelligence Sydney number Lecture Notes Artificial Intelligence pages Springer Verlag Heidelberg","12","10"
"GSutcliffe","PTTP+GLiDeS - Semantically Guided PTTP,","D McAllester editor Automated Deduction CADE Conference Automated Deduction th International Conference Automated Deduction Proceedings p number LNAI Springer Verlag New","12","11"
