"Coauthor","Paper","Journal","AuthorID","PaperID"
"","Discourse: Codes and Clues in Contexts ","ACL Meeting of the Association for Computational Linguistics","10","1"
"","DIAGRAM: A Grammar for Dialogues ","Cooperative Interfaces to Information Systems","10","2"
"","DIAGRAM: A Grammar for Dialogues ","Commun ACM","10","3"
"ABurns","A Dialogue Development System for the Design and Implementation of User Interfaces in Ada ","Comput J","11","4"
"ABurns","ADDS - A Dialogue Development System for the Ada Programming Language ","International Journal of Man Machine Studies","11","5"
"","Software Engineering Curriculum Development Model ","CSEE","12","6"
"WilliamABralick","Using a Multi-User Dialogue System to Support Software Engineering Distance Education ","CSEE","12","7"
"HTKung","On optimistic methods for concurrency control ","ACM Trans Database Systems","1","8"
"BalakrishnaRIyer;DanielMDias;DouglasWCornell;PhilipSYu","Modelling of Centralized Concurrency Control in a Multi-System Environment ","SIGMETRICS Measurement and Modeling of Computer Systems","1","9"
"DDias;BIyer;;PYu","Integrated concurrency-coherency controls for multi-system data sharing ","IEEE Trans Soft Eng","1","10"
"BalakrishnaRIyer;DanielMDias;PhilipSYu","Integrated Concurrency-Coherency Controls for Multisystem Data Sharing ","IEEE Trans Software Eng","1","11"
"VCastelli;LBergman;IKontoyiannis;C-SLi;;JTurek","Progressive search and retrieval in large image archives ","IBM Journal of Res Develop","1","12"
"HTKung","On Optimistic Methods for Concurrency Control ","VLDB Very Large Data Bases","1","13"
"PHeidelberger;ANorton","Parallel quicksort using fetch-and-add ","IEEE Trans Computers","1","14"
"HTKung","On Optimistic Methods for Concurrency Control ","ACM Trans Database Syst","1","15"
"","Some analysis techniques for asynchronous multiprocessor algorithms ","IEEE Trans Soft Eng SE","1","16"
"","Separating policy from correctness in concurrency control design ","Software Practice and Experience","1","17"
"CharlesOSchulz;MichaelEWazlowski;PMauriceBland;PeterAFranaszek;RBrettTremaine;TBasilSmith","IBM Memory Expansion Technology MXT ","IBM Journal of Research and Development","1","18"
"JoyThomas;PeterAFranaszek","Parallel Compression with Cooperative Dictionary Construction ","Data Compression Conference","1","19"
"","A Fast General-Purpose Hardware Synchronisation Mechanism ","SIGMOD International Conference Management of Data Conference","1","20"
"","Analysis of Steady-State Segment Storage Utilizations in a Log-Structured File System with Least-Utilized Segment Cleaning ","Operating Systems Review","1","21"
"","Order Preserving Linear Hashing Using Dynamic Key Statistics ","PODS Symposium Principles of Database Systems","1","22"
"","Some Analysis Techniques for Asynchronous Multiprocessor Algorithms ","IEEE Trans Software Eng","1","23"
"","Separating Policy from Correctness in Concurrency Control Design ","Softw Pract Exper","1","24"
"","The K-D-B-Tree: A Search Structure For Large Multidimensional Dynamic Indexes ","SIGMOD International Conference Management of Data Conference","1","25"
"CarolineBenveniste;PeterAFranaszek","Cache-Memory Interfaces in Compressed Memory Systems ","IEEE Trans Computers","1","26"
"MurthyVDevarakonda","Data Cache Management Using Frequency-Based Replacement ","SIGMETRICS Measurement and Modeling of Computer Systems","1","27"
"MurthyVDevarakonda","Note on a Problem with Reed and Long's FBR Results ","Operating Systems Review","1","28"
"AnilNigam;HenryFKorth;RaviKrishnamurthy","A Framework for Understanding Distributed Deadlock Detection Algorithms ","PODS Symposium Principles of Database Systems","1","29"
"AlanNorton;PhilipHeidelberger","Parallel Quicksort Using Fetch-and-Add ","IEEE Trans Computers","1","30"
"DanEPoff;PeterAFranaszek;PhilipHeidelberger","Alogrithms and data structures for compressed-memory machines ","IBM Journal of Research and Development","1","31"
"RBTremaine;PAFranaszek;COSchulz;TBSmith;MEWazlowski;;PMBland","IBM Memory Expansion Technology MXT ","IBM Journal of Res Develop","1","32"
"AlexanderThomasian;PeterAFranaszek","Access Invariance and Its Use in High Contention Environments ","ICDE International Conference Data Engineering","1","33"
"CBenveniste;PFranaszek","Cache-memory interfaces in compressed memory systems ","IEEE Trans Computers","1","34"
"AlexanderThomasian;PeterAFranaszek","Concurrency Control for High Contention Environments ","ACM Trans Database Syst","1","35"
"PFranaszek;AThomasian","Concurrency control for high contention environments ","ACM Trans Database Systems","1","36"
"AlexanderThomasian;JayantRHaritsa;PeterAFranaszek","Distributed Concurrency Control Based on Limited Wait-Depth ","IEEE Trans Parallel Distrib Syst","1","37"
"PFranaszek;JRHaritsa;;AThomasian","Distributed concurrency control based on limited wait-depth ","IEEE Trans Parallel and Distributed Systems","1","38"
"AlexanderThomasian;JayantRHaritsa;PeterAFranaszek","Distributed Concurrency Control with Limited Wait-Depth ","ICDCS International Conference Distributed Computing Systems","1","39"
"PFranaszek;PHeidelberger;;DPoff","Algorithms and data structures for compressed-memory machines ","IBM Journal of Res Develop","1","40"
"AlexanderThomasian;PeterAFranaszek","Wait Depth Limited Concurrency Control ","ICDE International Conference Data Engineering","1","41"
"PFranaszek","Limitations of concurrency in transaction processing ","ACM Trans Database Systems","1","42"
"PYu;DDias;BIyer;;DCornell","On coupling multi-systems through data sharing ","Proceedings of the IEEE","1","43"
"PeterAFranaszek","Limitations of Concurrency in Transaction Processing ","ACM Trans Database Syst","1","44"
"PeterAFranaszek","On Variable Scope of Parity Protection in Disk Arrays ","IEEE Trans Computers","1","45"
"PeterAFranaszek","Analysis of Reorganization Overhead in Log-Structured File Systems ","ICDE International Conference Data Engineering","1","46"
"PeterAFranaszek","On internal organization in compressed random-access memories ","IBM Journal of Research and Development","1","47"
"BalakrishnaRIyer;DanielMDias;PhilipSYu","Design and Analysis of Integrated Concurrency-Coherence Controls ","VLDB Very Large Data Bases","1","48"
"PFranaszek","On variable scope of parity protection in disk arrays ","IEEE Trans Computers","1","49"
"BalakrishnaRIyer;DanielMDias;DouglasCornell;PhilipSYu","Distributed Concurrency Control Analysis for Data Sharing ","Int CMG Computer Measurement Group Conference","1","50"
"PFranaszek","On internal organization in compressed random access memories ","IBM Journal of Res Develop","1","51"
"","Invited editorial ","TPLP Theory and Practice of Logic Programming","2","52"
"NormanMMartin","Meeting of the Association for Symbolic Logic ","J Symb Log","2","53"
"","Is Logic Programming Enough?","DS Discovery Science","2","54"
"","Logic, Computers, Turing, and von Neumann ","Machine Intelligence","2","55"
"","The Role of Logic in Computer Science and Artificial Intelligence ","FGCS Fifth Generation Computer Systems","2","56"
"","New directions in mechanical theorem proving ","IFIP International Federation for Information Processing Congress","2","57"
"","The Future of Logic Programming Invited Paper ","IFIP International Federation for Information Processing Congress","2","58"
"JonasBarklund","Vesper ","Machine Intelligence","2","59"
"","Informal Rigor and Mathematical Understanding ","Kurt G ouml del Colloquium","2","60"
"","Computational Logic: Memories of the Past and Challenges for the Future ","Computational Logic","2","61"
"","Proof = Guarantee + Explanation ","Intellectics and Computational Logic","2","62"
"","Formal and Informal Proofs ","Automated Reasoning Essays Honor of Woody Bledsoe","2","63"
"","Merging Functional with Relational Programming in a Reduction Setting Abstract of an Invited Lecture ","LICS Logic Computer Science","2","64"
"AndreiVoronkov","Preface ","Handbook of Automated Reasoning","2","65"
"","Editor's Introduction ","J Log Program","2","66"
"","Introduction: th Birthday Special Issue of The Journal of Logic Programming ","J Log Program","2","67"
"","Logic Programming - Past, Present and Future ","New Generation Comput","2","68"
"","Logic and Logic Programming ","Commun ACM","2","69"
"","Theorem-Proving on the Computer ","J ACM","2","70"
"","A Machine-Oriented Logic Based on the Resolution Principle ","J ACM","2","71"
"GeetaniEdirisooriya;SamanthaEdirisooriya","On the Performance of Augmented Signature Testing ","ISCAS IEEE International Symposium Circuits and Systems","3","72"
"AllenJGavin;BrianBerger;BrianO'Leary;ChadARoberts;ClaytonLBirkett;MarceloBSoares;MariaFBonaldo;NatalieLRobinson;NishankTrivedi;TamaraKucaba;TerryABraun;ThomasLCasavant;ToddEScheetz;ValCSheffield","ESTprep: Preprocessing CDNA Sequence Reads ","Bioinformatics","3","73"
"CharlesWHoffnerII","Easily Tested Three-Level Gate Networks for T or More of N Symmetric Functions ","IEEE Trans Computers","3","74"
"AlanWNordstrom","An Optimum Nonlinear Code","Information and Control","3","75"
"SudhakarMReddy","A Construction for Convolutional Codes Using Block Codes","Information and Control","3","76"
"SudhakarMReddy","A Decoding Algorithm for Some Convolutional Codes Constructed from Block Codes","Information and Control","3","77"
"JPRobinson","Golomb Rectangles as Folded Rulers,","IEEE Trans Information Theory IT","3","78"
"JPRobinson","Genetic Search for Golomb Arrays,","IEEE Trans Information Theory IT","3","79"
"JPRobinson;NRSaxena","A Unified View of Test Compression Methods","IEEE Trans Computers C","3","80"
"NirmalRSaxena","Accumulator Compression Testing ","IEEE Trans Computers","3","81"
"","Addendum to Optimum Golomb Rulers ","IEEE Trans Computers","3","82"
"","Golomb rectangles as folded rulers ","IEEE Transactions Information Theory","3","83"
"","Aliasing Probabilities for Feedback Signature Compression of Test Data ","IEEE Trans Computers","3","84"
"","Optimum Golomb Rulers ","IEEE Trans Computers","3","85"
"MartinCohn","Counting Sequences ","IEEE Trans Computers","3","86"
"GeorgeIDavida;SudhakarMReddy","A Class of High-Rate Double-Error-Correcting Convolutional Codes","Information and Control","3","87"
"GeetaniEdirisooriya","Aliasing in Multiple-Valued Test Data Compaction ","ISMVL IEEE INTERNATIONAL SYMPOSIUM MULTIPLE VALUED LOGIC","3","88"
"GeetaniEdirisooriya","Aliasing Probability in Multiple Input Linear Signature Automata for Q-ary Symmetric Errors ","ICCD International Conference Computer Design","3","89"
"GEdirisooriya;JPRobinson","Aliasing Properties of Circular MISR's,","Journal of Electronic Testing","3","90"
"NirmalRSaxena","A Unified View of Test Compression Methods ","IEEE Trans Computers","3","91"
"ChengHsienTung","A Fast Algorithm for Optimum Syndrome Space Compression ","IEEE Trans Computers","3","92"
"ChengHsienTung","On Concurrently Testable Microprogrammed Control Units ","ITC International Test Conference","3","93"
"Chia-LungYeh","A Method for Modulo- Minimization ","IEEE Trans Computers","3","94"
"BGTLowden","A fast method for ensuring the consistency of integrity constraints"," Proc DEXA Database and Expert Systems Applications","4","95"
"BGTLowden","Extended query answering using integrity rules"," Proc th International Symposium Methodologies for Intelligent Systems LNCS Springer Verlag pp","4","96"
"BarryGTLowden","Extending the Re-use of Query Results at Remote Client Sites ","DEXA Database and Expert Systems Applications","4","97"
