"Coauthor","Paper","Journal","AuthorID","PaperID"
"EijiShinohara;HiroakiMatsumura;HiroshiSunaga;MichiharuTakemoto","The Ubiquitous Service-Oriented Network USON - An Approach for a Ubiquitous World Based on P P Technology ","Peer to Peer Computing","10","1"
"ChoongSeonHong;ShinkuroHonda;TakeshiYoneda;YutakaMatsushita","Multimedia Communication Networking Architecture Model for High Speed Network ","LCN IEEE Conference Local Computer Networks","10","2"
"MYoshikawa;KIshihara","Schema Design, Views and Incomplete Information in Object-oriented Databases,"," English Trans of IPSJ","1","3"
"KanameHarumoto;KeishiTajima;MasahikoTsukamoto;MasatoshiArikawa;ShinjiShimojo;ShojiroNishio;YasuoAriki","An Advanced Processing Environment for Managing the Continuous and Semistructured Features of Multimedia Content ","ADBIS Advances Databases and Information Systems DASFAA Database Systems for Advanced Applications","1","4"
"MYoshikawa;KIshihara","Schema Virtualization in Object-Oriented Databases,","Proc of the th IEEE Int Conf Data Engineering","1","5"
"KenjiHatano;RyouichiSano;YiweiDuan","An Interactive Classification of Web Documents by Self-Organizing Maps and Search Engines ","DASFAA Database Systems for Advanced Applications","1","6"
"MYoshikawa","Towards Abstracting Complex Database Objects: Generalization, Reduction and Unification of Set-type Objects Extended Abstract ,","Proc Int Conf Database Theory Lecture Notes Computer Science Springer Verlag","1","7"
"AkiyoNadamoto;KazutoshiSumiya;MasakiShikata","MWM: Retrieval and Automatic Presentation of Manual Data for Mobile Terminals ","DEXA Database and Expert Systems Applications","1","8"
"KenjiHatano;QingQian","A SOM-Based Information Organizer for Text and Video Data ","DASFAA Database Systems for Advanced Applications","1","9"
"KojiZettsu;YutakaKidawara","Image Retrieval by Web Context: Filling the Gap between Image Keywords and Usage Keywords ","DEXA Database and Expert Systems Applications","1","10"
"AkiyoNadamoto;HiroyukiKondo","WebCarrousel: Restructuring Web Search Results for Passive Viewing in Mobile Environments ","DASFAA Database Systems for Advanced Applications","1","11"
"TatsuoHirose;ToshihikoHata;YNakanishi","Querying Multiple Perspective Video by Camera Metaphor ","DASFAA Database Systems for Advanced Applications","1","12"
"KojiZettsu;KuniakiUehara","Semantic Structures for Video Data Indexing ","AMCP Advanced Multimedia Content Processing","1","13"
"AkiyoNadamoto;HiroyukiKondo","WebCarousel: Automatic Presentation and Semantic Restructuring of Web Search Result for Mobile Environments ","DEXA Database and Expert Systems Applications","1","14"
"KohjiZettsu;KuniakiUehara;NobuoKimura","A Time-Stamped Authoring Graph for Video Databases ","DEXA Database and Expert Systems Applications","1","15"
"AkiyoNadamoto;KengoKoiso","Associating and Presenting Metadata of Digital Archive Objects in Virtual Spaces as Synchronized Multimedia Content ","Kyoto International Conference Digital Libraries","1","16"
"AkiyoNadamoto;AtsushiIizawa;KazutoshiSumiya;TaekoHattori;TakakoHashimoto;YukariShirota","A TV Program Generation System using Digest of Video Scenes and a Scripting Markup Language ","HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES","1","17"
"KNanba;NNishikawa;SHirayama","Query Pairs as Hypertext Links ","ICDE International Conference Data Engineering","1","18"
"NNishikawa;SHirayama;KNanba","Query Pairs As Hypertext Links","Proc of the th Int Conf Data Engineering IEEE Computer Society","1","19"
"SNishio","Obase Object Database Model: Towards a More Flexible Object-Oriented Database System,","Proc Int Symp Next Generation Database Systems and Their Applications NDA Fukuoka Cpp","1","20"
"","Towards an Integrated Environment for Editing, Viewing and Publishing Multimedia Database Objects,","Proc Int Symp Computer World","1","21"
"EitetsuOhmoto","HistoryChart: A Visual Language for Historical Databases ","DASFAA Database Systems for Advanced Applications","1","22"
"","Tutorial: Object-Oriented Database,","Int Symp Database Systems for Advanced Applications Seoul Korea","1","23"
"HiroakiOiso;Jun-yaMorishita;KazuhiroOhtsuki;QingQian;ShinichiUeshima","Incremental Data Organization for Ancient Document Databases ","DASFAA Database Systems for Advanced Applications","1","24"
"KuniakiUehara;YutakaKidawara","Encapsulating Multimedia Contents and a Copyright Protection Mechanism into Distributed Objects ","DEXA Database and Expert Systems Applications","1","25"
"ChungLeViet;ShuzoYajima;YahikoKambayashi","A file organization suitable for relational database operations ","Mathematical Studies of Information Processing","1","26"
"CLeViet;YKambayashi;SYajima","A File Organization Suitable for Relational Database Operations,","Lecture Notes Computer Science Springer Verlag","1","27"
"TakeshiYabe","Similarity Retrieval of Human Motion As Multi-Stream Time Series Data ","DANTE Delivery of Advanced Network Technology to Europe","1","28"
"Syajima;YKambayashi","Bibliographic Information Processing Facilities for Relational Database System ARIS,","Proc th Int Conf System Sciences","1","29"
"ChikashiYajima;YoshihiroNakanishi","Querying Video Data by Spatio-Temporal Relationships of Moving Object Traces ","VDB Visual Database Systems","1","30"
"ShuzoYajima;YahikoKambayashi","Problems of Relational Database Design ","Data Base Design Techniques I","1","31"
"ShuzoYajima;YahikoKambayashi","Organization of quasi-consecutive retrieval files ","Inf Syst","1","32"
"TatsuoHirose;YoshihiroNakanishi","Modeling and Structuring Multiple Perspective Video for Browsing ","ER International Conference Conceptual Modeling the Entity Relationship Approach","1","33"
"TatsuoHirose;ToshihikoHata","Skimming Multiple Perspective Video Using Tempo-Spatial Importance Measures ","VDB Visual Database Systems","1","34"
"RHull;MYoshikawa","Behavior Analysis of Object-Oriented Databases: Method Structure, Execution Trees and Reachability Extended Abstract ,","Proc rd Int Conf Foundations of Data Organizations and Algorithms Lecture Notes Computer Science Springer Verlag","1","35"
"KozoIshihara;MasatoshiYoshikawa","Schema Virtualization in Object-Oriented Databases ","ICDE International Conference Data Engineering","1","36"
"YKambayashi;KTakeda;SYajima","Design Problems of Unnormalized Relations Utilizing Semantic Constraints in Relational Databases in Japanese ,","Trans of IPSJ","1","37"
"YKambayashi","Logical Integration of Locally Independent Relational Databases into a Distributed Database,","Proc th Int Conf Very Large Data Bases Cannes","1","38"
"YKambayashi","Interference Problems between Relational Queries and Dependency Constraints in Japanese ,","Trans of IPSJ","1","39"
"YKambayashi;SYajima","Problems of Relational Database Design, Lecture Notes in Computer Science ,","Springer Verlag","1","40"
"HiroakiOiso;KeishiTajima;MasakiKamiura","Spatial Views and LOD-Based Access Control in VRML-object Databases ","WWCA Worldwide Computing and Its Applications","1","41"
"YKambayashi;SYajima","Properties of Embedded Multivalued Dependencies in Relational Databases,","Trans of IECE E","1","42"
"EOomoto","Continuous Objects: A Data Model for Multi-Media Databases in Japanese ,"," Proc of the JSSST Object Oriented Computing Workshop appeared Object Oriented Computing I Kindai Kagakusha","1","43"
"YKambayashi;SYajima","Organization of Quasi-Consecutive Retrieval Files,","Information Systems Pergamon Press","1","44"
"EOomoto","Design and Implementation of a Visual Query Language for Historical Databases,","Database Systems for Next generation Applications Advanced Database Research and Development Series World Scientific Publishing","1","45"
"EOomoto","HistoryChart: A Visual Query language for Historical Databases,","Proc Int Symp Database Systems for Advanced Applications DASFAA Database Systems for Advanced Applications","1","46"
"EOomoto","OVID: Design and Implementation of a Video-Object Database System,","IEEE Trans Knowledge and Data Engineering","1","47"
"EitetsuOomoto","Video Database Systems - Recent Trends in Research and Development Activities ","Handbook of Multimedia Information Management","1","48"
"EOomoto","Propagation-View: An Instance-based Inheritance Mechanism by Parial Order Relationships in Object-Oriented Databases, in Japanese ,","Trans of IPSJ","1","49"
"SPradhan;TJozen","Navigation of an Instance-based Object Database with Dynamic Inheritance Capability,","Proc Int Symp Advanced Database Technologies and Thier Integration ADTI Nara JapanCpp","1","50"
"QingQian","Two-Level Schemata and Generalized Links for Hypertext Database Models ","Future Databases","1","51"
"QQiang;MTanizaki","Abstraction and Inheritance of HyperLinks in an Object-Oriented Hypertext Database System TextLink/Gem,","Proc Int Symp Advanced Database Technologies and Thier Integration ADTI Nara","1","52"
"YKambayashi;SYajima","A Relational Data Language with Simplified Binary Relation Handling Capability,","Proc rd Int Conf Very Large Data Bases Tokyo","1","53"
"YKambayashi;KTakeda;SYajima","Representation of Relations for Database Output Utilizing Data Dependencies,","Proc th Int Conf System Sciences U S A","1","54"
"YKambayashi;SYajima","Use of Abstracted Characteristics of Data in Relational Databases,","Proc IEEE rd Int Computer Software and Applications Conf","1","55"
"YKambayashi;SYajima","Semantic Aspects of Data Dependencies and Their Application to Relational Database Design,","Proc IEEE rd Int Computer Software and Applications Conf","1","56"
"YKambayashi;KTakeda","Synthesis of Unnormallized Relations Incorporating More Meaning,","Information Sciences Elsevier Science Pub Inc","1","57"
"YahikoKambayashi","Testing of Join Dependency Preserving by a Modified Chase Method ","MFCS Mathematical Foundations of Computer Science","1","58"
"HiroakiKawagishi;KengoKoiso","Dynamic Zone Retrieval and Landmark Computation for Spatial Data ","Digital Cities","1","59"
"HiroakiKawagishi;KengoKoiso;TakahiroMatsumoto","InfoLOD and LandMark: Browsing and Retrieving Spatial Data ","CODAS The Second International Symposium Cooperative Database Systems for Advanced Applications","1","60"
"MaQiang;ShinyaMiyazaki","WebSCAN: Discovering and Notifying Important Changes of Web Sites ","DEXA Database and Expert Systems Applications","1","61"
"HiroakiKawagishi;KengoKoiso;TakahiroMatsumoto;TakehisaMori","InfoLOD and LandMark: Spatial Presentation of Attribute Information and Computing Representative Objects for Spatial Data ","Int J Cooperative Inf Syst","1","62"
"NSanada","Adding Methods to Relational Database Constructs,","Proc th Annual Int Computer Software and Applications Conf COMPSAC International Computer Software and Applications Conference IEEE Computer Society Press","1","63"
"SKitamura","Design and Implementation of an Oriental Medicine Expert System, in Japanese ,","Trans of the Institute of Systems Control and Information Engineers","1","64"
