"Coauthor","Paper","Journal","AuthorID","PaperID"
"JamesLCrowley","An Appearance-Based Approach to Gesture-Recognition ","ICIAP","10","1"
"AugustinLux;ChristopheLeGal;JamesLCrowley","Smart Office: Design of an Intelligent Environment ","IEEE Intelligent Systems","10","2"
"DanielaHall;JamesLCrowley","Statistical Gesture Recognition Through Modelling of Parameter Trajectories ","Gesture Workshop","10","3"
"JamesLCrowley;OlivierChomat","A Probabilistic Sensor for the Perception and Recognition of Activities ","ECCV European Conference Computer Vision","10","4"
"Ram&oacute;nPuigjaner","Extending UML Deployment Diagrams form a Performance Engineering Perspective ","Software Engineering Research and Practice","11","5"
"CarlosJuiz;NunzioNicol&oacute;SavinoV&aacute;zquez","Unified system builder through interacting blocks USBIB for soft real-time systems ","Workshop Software and Performance","11","6"
"DidierBoudigue;GeorgesGardarin;Jos&eacute;AntonioCorbacho;NunzioNicol&oacute;SavinoV&aacute;zquez;Ram&oacute;nPuigjaner;SophieDumas","Predicting the behaviour of three-tiered applications: dealing with distributed-object technology and databases ","Perform Eval","11","7"
"Jos&eacute;AntonioCorbacho;NunzioNicol&oacute;SavinoV&aacute;zquez;Ram&oacute;nPuigjaner","Extending SMART to Predict the Behaviour of PL/SQL Applications ","Computer Performance Evaluation Tools","11","8"
"ChrisLankester","Ask Me Tomorrow: The NRC and University of Ottawa Question Answering System ","TREC Text REtrieval Conference","12","9"
"AlainD&eacute;silets;BerrydeBruijn","Extracting Keyphrases from Spoken Audio Documents ","SIGIR Research and Development Information Retrieval Workshop Information Retrieval Techniques for Speech Applications","12","10"
"","Focusing Attention for Observational Learning: The Importance of Context ","IJCAI International Joint Conference Artificial Intelligence","12","11"
"DominiqueB&eacute;roule;RVeldman","Developing Multimodal Interfaces: A Theoretical Framework and Guided Propagation Networks ","Multimodal Human Computer Communication","13","12"
"DominiqueB&eacute;roule","Temporal Codes within a Typology of Cooperation Between Modalities ","Artif Intell Rev","13","13"
"AdamCheyer;LucJulia","A Unified Framework for Constructing Multimodal Experiments and Applications ","Cooperative Multimodal Communication","13","14"
"PeterHWelch","A CSP Model for Java Multithreading ","PDSE","14","15"
"","A Tool for Checking the CSP sat Property ","Comput J","14","16"
"DanielMDias;DavidCSadler;JamshedHMirza;MarcSnir;TilakAgerwala","SP System Architecture ","IBM Systems Journal","15","17"
"DanielMDias;DavidCSadler;JamshedHMirza;MarcSnir;TilakAgerwala","SP System Architecture ","IBM Systems Journal","15","18"
"FerencAJolesz;GuidoGerig;MarthaElizabethShenton;OlafK&uuml;bler;RonKikinis","Automating Segmentation of Dual-Echo MR Head Data ","IPMI Information Processing Medical Imaging","16","19"
"AlexPentland;RonKikinis;StanSclaroff","Characterization of Neuropathological Shape Deformations ","IEEE Transactions Pattern Analysis and Machine Intelligence","16","20"
"CourtSansom;DebbieDurant;HenryMoeller;JimOsborn;VirginiaRedmond","Slowing Down the Revolving Door: Motivating and Retaining Student Employees ","SIGUCCS Special Interest Group University and Computing Services","1","21"
"","Help desk training: art, science, or prayer ","SIGUCCS Special Interest Group University and Computing Services","1","22"
"","What does faculty really want from information technology?","SIGUCCS Special Interest Group University and Computing Services","1","23"
"","Managing the network ","SIGUCCS Special Interest Group University and Computing Services","1","24"
"","Seamless Integration of Client Server Applications - Conclusion or How Many SIGUCCS Papers Can You Get From One Project?","SIGUCCS Special Interest Group University and Computing Services","1","25"
