"Coauthor","Paper","Journal","AuthorID","PaperID"
"TosiyasuLKunii","Visual Translation: From Native Language to Sign Language ","VL Visual Languages","100","1"
"","Notational Representation of Sign Language: A Structural Description of Hand Configuration ","ICCHP International Conference Computers for Handicapped Persons","100","2"
"YanSolihin;JaejinLee;JosepTorrellas","Memory-Side Correlation Prefetching Using a General-Purpose Core in Memory"," the th Annual International Symposium Computer Architecture ISCA International Symposium Computer Architecture","10","3"
"YanSolihin;JaejinLee;JosepTorrellas","Prefetching in an Intelligent Memory Architecture Using a Helper Thread,","Proceedings of Workshop Multithreaded Execution Architecture and Compilation MTEAC","10","4"
"YanSolihin;JaejinLee;JosepTorrellas","Automatic Code Mapping on an Intelligent Memory Architecture"," An extended version of IEEE Transactions Computers Special Issue Advances High Performance Memory Systems","10","5"
"JosepTorrellas;YanSolihin","Correlation Prefetching with a User-Level Memory Thread ","IEEE Trans Parallel Distrib Syst","10","6"
"JosepTorrellas;YanSolihin","Adaptively Mapping Code in an Intelligent Memory Architecture ","Intelligent Memory Systems","10","7"
"JosepTorrellas;YanSolihin","Automatic Code Mapping on an Intelligent Memory Architecture ","IEEE Trans Computers","10","8"
"JosepTorrellas;YanSolihin","Automatically Mapping Code on an Intelligent Memory Architecture ","HPCA International Symposium High Performance Computer Architecture","10","9"
"Chi-LeungWong;DavidAPadua;SamuelPMidkiff;XingFang;ZehraSura","The Pensieve Project: A Compiler Infrastructure for Memory Models ","ISPAN","10","10"
"AncaBrowne;ArjunKapur;EdwardYChang;HarishDevarajan;HennySipma;LucadeAlfaro;MichaelCol&oacute;n;NikolajBj&oslash;rner;Tom&aacute;sEUribe;ZoharManna","STeP: The Stanford Temporal Prover ","TAPSOFT","10","11"
"JaejinLee;DavidAPadua;SamuelPMidkiff","Basic Compiler Algorithms for Explicitly Parallel Programs"," An extended version of to ACM Transactions Programming Languages and Systems","10","12"
"JaejinLee;DavidAPadua;SamuelPMidkiff","Basic Compiler Algorithms for Parallel Programs"," Proceedings of the th ACM SIGPLAN Special Interest Group Programming Languages Symposium Principles and Practice of Parallel Programming PPoPP","10","13"
"JaejinLee;YanSolihin;JosepTorrellas","Automatically Mapping Code on an Intelligent Memory Architecture"," Proceedings of the th International Symposium High Performance Computer Architecture HPCA International Symposium High Performance Computer Architecture","10","14"
"JaejinLee","Compilation Techniques for Explicitly Parallel Programs"," Ph D Thesis Technical Report UIUCDCS R Department of Computer Science University of at","10","15"
"SamuelPMidkiff;JaejinLee;DavidAPadua"," A Compiler for Multiple Memory Models ;","The th Workshop Compilers for Parallel Computers CPC","10","16"
"JaejinLee;SamuelPMidkiff;DavidAPadua","Concurrent Static Single Assignment Form and Constant Propagation for Explicitly Parallel Programs"," Proceedings of the th International Workshop Languages and Compilers for Parallel Computing LCPC Languages and Compilers for Parallel Computing Lecture Notes Computer Science Springer Twin Cities","10","17"
"DavidAPadua;SamuelPMidkiff","Basic Compiler Algorithms for Parallel Programs ","PPOPP Principles Practice of Parallel Programming","10","18"
"JaejinLee;SamuelPMidkiff;DavidAPadua","A Constant Propagation Algorithm for Explicitly Parallel Programs"," International Journal of Parallel Programming","10","19"
"DavidAPadua;SamuelPMidkiff","Concurrent Static Single Assignment Form and Constant Propagation for Explicitly Parallel Programs ","LCPC Languages and Compilers for Parallel Computing","10","20"
"JaejinLee;DavidAPadua","Hiding Relaxed Memory Consistency with a Compiler"," An extended version of IEEE Transactions Computers Special Issue Parallel Architectures and Compilation Techniques","10","21"
"DavidAPadua;SamuelPMidkiff","A Constant Propagation Algorithm for Explicitly Parallel Programs ","International Journal of Parallel Programming","10","22"
"JaejinLee","Hiding the Java Memory Model with Compilers"," Technical Report MSU CSE Presented the OOPSLA Conference Object Oriented Programming Systems Languages and Applications workshop Revising the Java Thread Specification Department of Computer Science and Engineering State University","10","23"
"DavidAPadua","Hiding Relaxed Memory Consistency with Compilers ","IEEE PACT Parallel Computing Technologies","10","24"
"JaejinLee;DavidAPadua","Parallel Static Single Assignment Form and Constant Propagation for Explicitly Parallel Programs"," Proceedings of the HPCA International Symposium High Performance Computer Architecture Workshop Interaction between Compilers and Computer Architectures San Antonio","10","25"
"DavidAPadua","Hiding Relaxed Memory Consistency with a Compiler ","IEEE Trans Computers","10","26"
"DavidAPadua;JayHoeflinger;JohnGrout;LawrenceRauchwerger;PengTu;RamonDoallo;RudolfEigenmann;ThomasLawrence;WilliamBlume;WilliamMPottenger;YunheungPaek","Parallel Programming with Polaris ","IEEE Computer","10","27"
"DavidAPadua;JayHoeflinger;JohnGrout;KeithFaigin;LawrenceRauchwerger;PaulPetersen;PengTu;RudolfEigenmann;StephenWeatherford;ThomasLawrence;WilliamBlume;WilliamMPottenger;YunheungPaek","Restructuring Programs for High-Speed Computers with Polaris ","ICPP International Conference Parallel Processing Workshop","10","28"
"YanSolihin;JaejinLee;JosepTorrellas","Adaptively Mapping Code in an Intelligent Memory Architecture"," Proceedings of the Workshop Intelligent Memory Systems","10","29"
"","Desiderata in Agent Architectures for Coordinating Multi-Agent Systems ","PRIMA International Workshop Multi Agents","11","30"
"","Reactive-System Approaches to Agent Architectures ","ATAL Agent Theories Architectures and Languages","11","31"
"EdmundHDurfee;VictorRLesser;DanielDCorkill","Cooperative Distributed Problem Solving,","A Barr P Cohen and E Feigenbaum Wesley","11","32"
"EdmundHDurfee;VictorRLesser;DanielDCorkill","Distributed Problem Solving,","S Shapiro ed Encyclopedia of Artificial Intelligence second edition Wiley","11","33"
"EdmundHDurfee;JeffreySRosenschein","Distributed Problem Solving and Multi-Agent Systems: Comparisons and Examples ","Proceedings of the Thirteenth International Distributed Artificial Intelligence Workshop pages","11","34"
"EdmundHDurfee;PiotrJGmytrasiewicz","Overeager Reciprocal Rationality and Mixed Strategy Equilibria ","AAAI National Conference Artificial Intelligence","11","35"
"SukIYoo;YongSChoi","Hierarchial Multi-agent Organization for Text Database Discovery ","PRIMA International Workshop Multi Agents","11","36"
"EdmundHDurfee","On Explicit Plan Languages for Coordinating Multiagent Plan Execution ","ATAL Agent Theories Architectures and Languages","11","37"
"EdmundHDurfee","Structured Circuit Semantics for Reactive Plan Execution Systems ","AAAI National Conference Artificial Intelligence","11","38"
"EdmundHDurfee;MarcusJHuber;MichaelKurnow","TAIPE: Tactical Assistants for Interaction Planning and Execution ","Agents","11","39"
"EdmundHDurfee;VictorRLesser;DanielDCorkill","Trends in Cooperative Distributed Problem Solving ","IEEE Transactions Knowledge and Data Engineering KDE","11","40"
"EdmundHDurfee","Blissful Ignorance: Knowing Just Enough to Coordinate Well ","Proceedings of the First International Conference Multi Agent Systems","11","41"
"EdmundHDurfee","What Your Computer Really Needs to Know, You Learned in Kindergarten ","Proceedings of the Tenth National Conference Artificial Intelligence pages","11","42"
"EdmundHDurfee","Planning in Distributed Artificial Intelligence,","G O Hare and N eds Foundations of Distributed Artificial Intelligence Wiley","11","43"
"EdmundHDurfee","The Distributed Artificial Intelligence Melting Pot ","IEEE Transactions Systems Man and Cybernetics Special Issue Distributed Artificial Intelligence SMC","11","44"
